id,repository,url,stars_snapshot,metadata_decision,source_status,review_stage,final_status,description_en,team_reason,limits_and_notes,tested
103,docling-project/docling,https://github.com/docling-project/docling,67436,已收录,metadata-only,,metadata-only,,,与现有清单的项目或官方入口对应，避免重复收录。,False
104,scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,67329,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
105,Mintplex-Labs/anything-llm,https://github.com/Mintplex-Labs/anything-llm,66265,已收录,metadata-only,,metadata-only,,,与现有清单的项目或官方入口对应，避免重复收录。,False
106,shanraisshan/claude-code-best-practice,https://github.com/shanraisshan/claude-code-best-practice,66133,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
107,mem0ai/mem0,https://github.com/mem0ai/mem0,65719,已收录,metadata-only,,metadata-only,,,与现有清单的项目或官方入口对应，避免重复收录。,False
108,ZhuLinsen/daily_stock_analysis,https://github.com/ZhuLinsen/daily_stock_analysis,65382,范围不优先：垂直领域,metadata-only,,metadata-only,,,主要聚焦特定领域的模型、研究或个人应用；本轮未扩展该专业领域分类。,False
109,warpdotdev/warp,https://github.com/warpdotdev/warp,65114,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
110,keras-team/keras,https://github.com/keras-team/keras,64324,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
111,usestrix/strix,https://github.com/usestrix/strix,63876,待README核验,candidate,commercial-pass-001,商业或许可边界待核,"AI-assisted security testing that produces validated findings, remediation guidance, and patches.",安全与开发团队通过可复现发现、修复建议及补丁交接安全问题，适合已有测试授权的工程流程。,安全与开发团队通过可复现发现、修复建议及补丁交接安全问题，适合已有测试授权的工程流程。 SSO 和定制报告属 Enterprise；云 PR Review 与本地 CLI 分开，不背书零误报或自动合规。,False
112,virattt/ai-hedge-fund,https://github.com/virattt/ai-hedge-fund,63630,范围不优先：垂直领域,metadata-only,,metadata-only,,,主要聚焦特定领域的模型、研究或个人应用；本轮未扩展该专业领域分类。,False
113,byoungd/up,https://github.com/byoungd/up,63371,范围不优先：通用学习,metadata-only,,metadata-only,,,主要为通用编程、基础机器学习或课程资料，简介未明确团队AI工程实践。,False
114,mvanhorn/last30days-skill,https://github.com/mvanhorn/last30days-skill,62456,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
115,sansan0/TrendRadar,https://github.com/sansan0/TrendRadar,62444,待README核验,candidate,team-second-pass,团队直接性不足,A configurable news monitor that uses AI to filter and summarize updates and deliver them to team channels.,将同一主题的筛选结果和分析推送到 Slack、飞书、钉钉或企微，形成团队共享情报简报。,将同一主题的筛选结果和分析推送到 Slack、飞书、钉钉或企微，形成团队共享情报简报。 频道推送不等于多人协作工作区；模型、数据源和通知渠道需配置，未实测。,False
116,upstash/context7,https://github.com/upstash/context7,62258,待README核验,candidate,team-second-pass,工程组件另列,Version-specific library documentation and examples delivered to coding agents through MCP or a CLI.,让团队不同编码工具使用一致的库版本文档，减少过时 API 导致的返工与审查成本。,让团队不同编码工具使用一致的库版本文档，减少过时 API 导致的返工与审查成本。 文档查询组件，不是共享团队知识库；本地 MCP 客户端不等于整个服务可自建。,False
117,pathwaycom/pathway,https://github.com/pathwaycom/pathway,62253,待README核验,candidate,commercial-pass-001,商业或许可边界待核,Incremental data pipelines that keep AI retrieval indexes synchronized with changing organizational sources.,同步 Drive、SharePoint、数据库等共享资料的变化，让团队应用使用持续更新的知识而非手动重建索引。,同步 Drive、SharePoint、数据库等共享资料的变化，让团队应用使用持续更新的知识而非手动重建索引。 BSL 1.1 源码可见；exactly-once 和部分分布式部署属 Enterprise；不宣称源系统权限自动继承。,False
118,jingyaogong/minimind,https://github.com/jingyaogong/minimind,61849,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
119,ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,61821,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
120,microsoft/autogen,https://github.com/microsoft/autogen,61080,已收录,metadata-only,,metadata-only,,,与现有清单的项目或官方入口对应，避免重复收录。,False
121,calesthio/OpenMontage,https://github.com/calesthio/OpenMontage,60462,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
122,meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,59352,待README核验,candidate,team-second-pass,工程组件另列,"A search engine with semantic and hybrid retrieval, API-key permissions, and tenant-specific results.",工程团队为内部 AI 检索应用构建搜索层，按租户和 API 权限限定可见数据。,工程团队为内部 AI 检索应用构建搜索层，按租户和 API 权限限定可见数据。 搜索基础设施，不是成品团队助手；副本分片等企业功能需区分许可，不把 EE 算免费社区功能。,False
123,BerriAI/litellm,https://github.com/BerriAI/litellm,59253,已收录,metadata-only,,metadata-only,,,与现有清单的项目或官方入口对应，避免重复收录。,False
124,MemPalace/mempalace,https://github.com/MemPalace/mempalace,59179,待README核验,candidate,deep-pass-001,保留待深核,"Persistent AI memory with verbatim storage, scoped retrieval, and an optional shared hub deployment.",可部署 shared-brain hub 让多个客户端接入，同步保留项目原文并按主题检索，减少重新传递上下文。,可部署 shared-brain hub 让多个客户端接入，同步保留项目原文并按主题检索，减少重新传递上下文。 未验证多人访问控制粒度；本地默认与远程嵌入选择分开，不能承诺所有配置不出网。,False
125,pathwaycom/llm-app,https://github.com/pathwaycom/llm-app,58910,待README核验,duplicate,,duplicate,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
126,crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,58829,已收录,metadata-only,,metadata-only,,,与现有清单的项目或官方入口对应，避免重复收录。,False
127,deepfakes/faceswap,https://github.com/deepfakes/faceswap,57556,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
128,zylon-ai/private-gpt,https://github.com/zylon-ai/private-gpt,57520,待README核验,candidate,commercial-pass-001,工程组件另列,"An API layer for private AI applications with document ingestion, cited retrieval, and tool integration.",工程团队可共享一个私有 AI 应用后端，复用文档接入、引用检索和工具集成能力。,工程团队可共享一个私有 AI 应用后端，复用文档接入、引用检索和工具集成能力。 不运行模型；RBAC、企业连接器、审计和终端用户工作区属于 Zylon，不属于 PrivateGPT API。,False
129,appwrite/appwrite,https://github.com/appwrite/appwrite,57424,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
130,twentyhq/twenty,https://github.com/twentyhq/twenty,57169,待README核验,candidate,deep-pass-001,保留待深核,"A customizable CRM with AI-assisted record queries, data enrichment, and permission-scoped workflow agents.",销售团队共享客户与商机数据，让智能体按对象读写权限生成摘要、分类线索并起草跟进邮件。,销售团队共享客户与商机数据，让智能体按对象读写权限生成摘要、分类线索并起草跟进邮件。 未核验所有部署版本套餐差异；按文档说明权限，不声称实测已覆盖。,False
131,ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,56767,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
132,hugohe3/ppt-master,https://github.com/hugohe3/ppt-master,55571,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
133,jamiepine/voicebox,https://github.com/jamiepine/voicebox,55295,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
134,rohitg00/ai-engineering-from-scratch,https://github.com/rohitg00/ai-engineering-from-scratch,55097,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
